disease,symptom,weight,info_gain
Spontaneous pneumothorax,feel pain - side of the chest(r),0.5558,5.4358
Spontaneous pneumothorax,feel pain - side of the chest(l),0.5466,4.7443
Spontaneous pneumothorax,e 58 (2),0.1421,0.398
Spontaneous pneumothorax,e 59 (6),0.1632,0.4549
Spontaneous pneumothorax,chronic obstructive pulmonary disease (copd),0.5918,4.6812
Spontaneous pneumothorax,e 58 (5),0.1445,0.4049
Spontaneous pneumothorax,e 58 (4),0.1407,0.3967
Spontaneous pneumothorax,e 56 (6),0.1989,0.4696
Spontaneous pneumothorax,shortness of breath or difficulty breathing in a significant way,0.6529,10.3715
Spontaneous pneumothorax,symptoms that are increased with physical exertion but alleviated with rest,0.5694,5.004
Spontaneous pneumothorax,e 54 - violent,0.7495,4.0309
Spontaneous pneumothorax,e 59 (9),0.1605,0.4846
Spontaneous pneumothorax,e 21,0.8446,1.3925
Spontaneous pneumothorax,e 54 - heartbreaking,0.7505,3.06
Spontaneous pneumothorax,feel pain - upper chest,0.4941,5.3575
Spontaneous pneumothorax,feel pain - breast(r),0.7572,6.0427
Spontaneous pneumothorax,feel pain - breast(l),0.7457,5.5486
Spontaneous pneumothorax,e 56 (8),0.2052,0.5473
Spontaneous pneumothorax,e 58 (1),0.1416,0.2877
Spontaneous pneumothorax,e 59 (8),0.1643,0.5129
Spontaneous pneumothorax,pain that is increased when you breathe in deeply,0.9058,5.5419
Spontaneous pneumothorax,e 56 (9),0.1984,0.5211
Spontaneous pneumothorax,e 59 (5),0.1696,0.464
Spontaneous pneumothorax,e 58 (6),0.1438,0.4249
Spontaneous pneumothorax,e 56 (10),0.1981,0.4343
Spontaneous pneumothorax,chest pain even at rest,0.5678,1.4329
Spontaneous pneumothorax,e 59 (10),0.17,0.409
Spontaneous pneumothorax,e 165,0.6654,0.8587
Spontaneous pneumothorax,e 59 (7),0.1724,0.5638
Acute pulmonary edema,significantly increased sweating,0.5865,4.5145
Acute pulmonary edema,pain,1.0,20.388
Acute pulmonary edema,e 54 - sensitive,0.5972,8.6855
Acute pulmonary edema,e 54 - heavy,0.6281,6.7571
Acute pulmonary edema,e 56 (4),0.1223,0.4581
Acute pulmonary edema,e 58 (3),0.1205,0.3954
Acute pulmonary edema,e 59 (3),0.1102,0.4815
Acute pulmonary edema,e 204 - n,0.9706,3.0182
Acute pulmonary edema,e 56 (7),0.1309,0.5221
Acute pulmonary edema,e 58 (7),0.1276,0.4903
Acute pulmonary edema,e 59 (2),0.1125,0.4978
Acute pulmonary edema,feel pain - lower chest,0.5241,6.3707
Acute pulmonary edema,feel pain - side of the chest(r),0.5211,5.4358
Acute pulmonary edema,feel pain - side of the chest(l),0.5181,4.7443
Acute pulmonary edema,feel pain - posterior chest wall(r),0.5229,3.7359
Acute pulmonary edema,feel pain - posterior chest wall(l),0.5202,3.3986
Acute pulmonary edema,e 56 (5),0.1225,0.4589
Acute pulmonary edema,e 58 (2),0.1262,0.398
Acute pulmonary edema,e 59 (6),0.1078,0.4549
Acute pulmonary edema,heart failure,0.9097,3.5963
Acute pulmonary edema,e 175,0.7187,2.9676
Acute pulmonary edema,e 58 (5),0.1269,0.4049
Acute pulmonary edema,e 59 (4),0.1143,0.4853
Acute pulmonary edema,e 58 (4),0.1245,0.3967
Acute pulmonary edema,e 56 (6),0.1265,0.4696
Acute pulmonary edema,e 59 (1),0.1113,0.5038
Acute pulmonary edema,e 54 - tugging,0.525,4.1004
Acute pulmonary edema,e 56 (2),0.1215,0.466
Acute pulmonary edema,e 58 (8),0.1237,0.515
Acute pulmonary edema,e 59 (0),0.108,0.751
Acute pulmonary edema,shortness of breath or difficulty breathing in a significant way,0.7935,10.3715
Acute pulmonary edema,high blood pressure or do you take medications to treat high blood pressure,0.749,5.0569
Acute pulmonary edema,angina (chest pain),0.8187,5.4348
Acute pulmonary edema,symptoms that are increased with physical exertion but alleviated with rest,0.7589,5.004
Acute pulmonary edema,e 56 (3),0.1245,0.4716
Acute pulmonary edema,swelling in one or more areas of your body,0.9988,6.9475
Acute pulmonary edema,feel pain - upper chest,0.3866,5.3575
Acute pulmonary edema,feel pain - breast(r),0.4992,6.0427
Acute pulmonary edema,feel pain - breast(l),0.453,5.5486
Acute pulmonary edema,e 56 (8),0.1266,0.5473
Acute pulmonary edema,e 58 (1),0.1247,0.2877
Acute pulmonary edema,e 59 (8),0.1146,0.5129
Acute pulmonary edema,e 56 (9),0.1251,0.5211
Acute pulmonary edema,e 5,0.8252,1.3285
Acute pulmonary edema,e 54 - tedious,0.5934,5.599
Acute pulmonary edema,feel pain - ankle(r),0.3529,1.654
Acute pulmonary edema,feel pain - ankle(l),0.2577,1.5609
Acute pulmonary edema,pain radiate to another location - biceps(l),0.5229,3.3038
Acute pulmonary edema,pain radiate to another location - triceps(r),0.3074,0.2418
Acute pulmonary edema,pain radiate to another location - triceps(l),0.2354,0.1126
Acute pulmonary edema,pain radiate to another location - shoulder(r),0.5193,3.3027
Acute pulmonary edema,pain radiate to another location - shoulder(l),0.5211,2.2908
Acute pulmonary edema,e 59 (5),0.1095,0.464
Acute pulmonary edema,e 152 - ankle(r),0.6667,2.0029
Acute pulmonary edema,e 152 - calf(l),0.6667,1.1865
Acute pulmonary edema,e 152 - tibia(r),0.6725,0.8774
Acute pulmonary edema,e 152 - tibia(l),0.5786,0.6463
Acute pulmonary edema,e 217,0.7609,3.4495
Acute pulmonary edema,e 58 (6),0.1258,0.4249
Acute pulmonary edema,pain radiate to another location - scapula(r),0.4516,2.4264
Acute pulmonary edema,pain radiate to another location - scapula(l),0.3834,2.3345
Acute pulmonary edema,pain radiate to another location - biceps(r),0.5242,3.314
Acute pulmonary edema,e 152 - ankle(l),0.6679,1.9991
Acute pulmonary edema,pain radiate to another location - chin,0.5059,0.4916
Acute pulmonary edema,e 152 - calf(r),0.6705,1.2051
Acute pulmonary edema,e 59 (7),0.1119,0.5638
Acute pulmonary edema,currently undergo dialysis,0.75,1.0947
Acute pulmonary edema,feel pain - calf(l),0.1117,0.0253
Acute pulmonary edema,pain radiate to another location - jaw,0.5178,0.5155
Acute pulmonary edema,bouts of choking or shortness of breath that wake you up at night,0.743,1.0741
Acute pulmonary edema,feel pain - calf(r),0.1709,0.0674
Acute pulmonary edema,feel pain - tibia(r),0.0679,0.0067
Tuberculosis,fever (either felt or measured with a thermometer),0.6443,9.051
Tuberculosis,cough,0.9998,12.413
Tuberculosis,e 204 - n,0.9683,3.0182
Tuberculosis,involuntary weight loss over the last 3 months,0.5789,3.2873
Tuberculosis,addiction to alcohol,0.5956,6.2613
Tuberculosis,underweight,0.6291,2.5741
Tuberculosis,shortness of breath or difficulty breathing in a significant way,0.5821,10.3715
Tuberculosis,diabetes,0.6919,5.5862
Tuberculosis,e 45,0.7709,4.6275
Tuberculosis,infected with the human immunodeficiency virus (hiv),0.607,1.5479
Tuberculosis,take corticosteroids,0.542,1.3264
Tuberculosis,currently using intravenous drugs,0.5725,1.2967
Myasthenia gravis,e 204 - n,0.9577,3.0182
Myasthenia gravis,shortness of breath or difficulty breathing in a significant way,0.7639,10.3715
Myasthenia gravis,"currently, have any weakness/paralysis in one or more of your limbs or in your face",0.57,1.2676
Myasthenia gravis,e 28,0.6495,0.8176
Myasthenia gravis,perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision),0.7448,1.0794
Myasthenia gravis,feel weakness in both arms and/or both legs,0.6392,1.8272
Myasthenia gravis,e 90,0.4952,0.4706
Myasthenia gravis,hard time opening/raising one or both eyelids,0.7393,1.709
Myasthenia gravis,"difficulty swallowing, or have a feeling of discomfort/blockage when swallowing",0.759,2.1116
Myasthenia gravis,pain or weakness in your jaw,0.6618,0.8493
Myasthenia gravis,difficulty articulating words/speaking,0.7429,1.0738
Panic attack,significantly increased sweating,0.6063,4.5145
Panic attack,pain,1.0,20.388
Panic attack,e 56 (4),0.1432,0.4581
Panic attack,pain radiate to another location - nowhere,1.0,23.6038
Panic attack,e 204 - n,0.97,3.0182
Panic attack,e 56 (7),0.1393,0.5221
Panic attack,e 58 (7),0.1987,0.4903
Panic attack,feel like vomiting,0.5337,5.387
Panic attack,e 54 - sharp,0.6948,10.1932
Panic attack,feel pain - lower chest,0.3208,6.3707
Panic attack,feel pain - side of the chest(r),0.5625,5.4358
Panic attack,feel pain - side of the chest(l),0.4518,4.7443
Panic attack,e 56 (5),0.145,0.4589
Panic attack,e 59 (6),0.1675,0.4549
Panic attack,addiction to alcohol,0.5694,6.2613
Panic attack,asthma or have you ever had to use a bronchodilator in the past,0.6307,8.2922
Panic attack,e 56 (6),0.1472,0.4696
Panic attack,e 58 (9),0.199,0.4141
Panic attack,e 54 - a cramp,0.7869,3.7986
Panic attack,feel lightheaded and dizzy or do you feel like you are about to faint,0.7013,3.693
Panic attack,e 56 (2),0.145,0.466
Panic attack,e 58 (8),0.2016,0.515
Panic attack,shortness of breath or difficulty breathing in a significant way,0.7054,10.3715
Panic attack,"feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations",0.7219,5.1248
Panic attack,e 58 (10),0.2002,0.4175
Panic attack,e 59 (9),0.1662,0.4846
Panic attack,feel pain - iliac fossa(r),0.4101,1.7481
Panic attack,feel pain - iliac fossa(l),0.4041,1.7604
Panic attack,feel pain - hypochondrium(r),0.4135,1.4309
Panic attack,feel pain - hypochondrium(l),0.4126,2.0952
Panic attack,e 56 (3),0.1373,0.4716
Panic attack,feel pain - upper chest,0.0667,5.3575
Panic attack,feel pain - breast(r),0.2044,6.0427
Panic attack,feel pain - breast(l),0.1181,5.5486
Panic attack,e 56 (8),0.143,0.5473
Panic attack,e 59 (8),0.1639,0.5129
Panic attack,e 59 (5),0.1659,0.464
Panic attack,feel anxious,0.6716,1.7277
Panic attack,feel pain - flank(l),0.4081,1.7209
Panic attack,e 58 (6),0.2005,0.4249
Panic attack,suffer from chronic anxiety,0.7523,1.1016
Panic attack,e 99,0.5434,0.5688
Panic attack,suffer from fibromyalgia,0.6651,0.858
Panic attack,e 157,0.805,2.1519
Panic attack,"currently, or did you ever, have numbness, loss of sensitivity or tingling anywhere on your body",0.5518,1.2013
Panic attack,e 185,0.714,0.9908
Panic attack,feel pain - pubis,0.3702,0.4036
Panic attack,feel like you are (or were) choking or suffocating,0.5659,0.6178
Panic attack,e 80,0.7337,1.047
Panic attack,feel like you are dying or were you afraid that you were about do die,0.7666,1.1444
Panic attack,feel like you are detached from your own body or your surroundings,0.7163,0.9973
Panic attack,feel pain - flank(r),0.4087,1.4761
Panic attack,feel pain - belly,0.3885,2.2215
Panic attack,e 59 (10),0.1678,0.409
Panic attack,e 59 (7),0.1688,0.5638
Panic attack,e 29,0.5539,0.5914
Scombroid food poisoning,e 204 - n,0.9707,3.0182
Scombroid food poisoning,diarrhea or an increase in stool frequency,0.5232,3.4266
Scombroid food poisoning,"lesions, redness or problems on your skin that you believe are related to the condition you are consulting for",1.0,11.7506
Scombroid food poisoning,e 131 - n,1.0,13.3891
Scombroid food poisoning,e 132 (0),0.1396,2.5805
Scombroid food poisoning,e 135 - y,1.0,10.3408
Scombroid food poisoning,feel like vomiting,0.5329,5.387
Scombroid food poisoning,e 130 - pink,1.0,6.8587
Scombroid food poisoning,e 132 (4),0.1463,0.2742
Scombroid food poisoning,e 134 (0),0.2518,2.6038
Scombroid food poisoning,feel lightheaded and dizzy or do you feel like you are about to faint,0.5176,3.693
Scombroid food poisoning,shortness of breath or difficulty breathing in a significant way,0.5568,10.3715
Scombroid food poisoning,"feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations",0.5366,5.1248
Scombroid food poisoning,e 133 - back of the neck,0.6672,2.264
Scombroid food poisoning,e 133 - biceps(l),0.6678,1.9187
Scombroid food poisoning,e 133 - mouth,0.6731,1.9338
Scombroid food poisoning,e 133 - thyroid cartilage,0.6684,1.9222
Scombroid food poisoning,e 133 - ankle(r),0.5853,1.2719
Scombroid food poisoning,e 134 (3),0.253,0.3726
Scombroid food poisoning,e 136 (10),0.2015,0.1895
Scombroid food poisoning,e 92,0.9854,1.902
Scombroid food poisoning,e 133 - ankle(l),0.4259,0.5613
Scombroid food poisoning,e 133 - cervical spine,0.2874,0.3261
Scombroid food poisoning,e 133 - thoracic spine,0.1702,0.1795
Scombroid food poisoning,e 134 (1),0.2487,0.3469
Scombroid food poisoning,e 187,0.9796,1.8795
Scombroid food poisoning,e 132 (3),0.1417,0.3118
Scombroid food poisoning,e 133 - biceps(r),0.6642,1.9013
Scombroid food poisoning,e 136 (9),0.1979,0.1826
Scombroid food poisoning,e 134 (2),0.2465,0.3626
Scombroid food poisoning,e 136 (8),0.2007,0.1831
Scombroid food poisoning,e 214,0.5354,5.3032
Scombroid food poisoning,e 132 (6),0.1441,0.1279
Scombroid food poisoning,e 136 (6),0.2017,0.0735
Scombroid food poisoning,e 132 (5),0.1433,0.1574
Scombroid food poisoning,e 136 (7),0.1982,0.1776
Scombroid food poisoning,e 132 (1),0.1437,0.3125
Scombroid food poisoning,e 132 (2),0.1413,0.3118
Scombroid food poisoning,e 133 - lumbar spine,0.0925,0.1328
Scombroid food poisoning,e 133 - thigh(r),0.0509,0.0033
Epiglottitis,pain,1.0,20.388
Epiglottitis,pain radiate to another location - nowhere,1.0,23.6038
Epiglottitis,e 59 (3),0.1412,0.4815
Epiglottitis,fever (either felt or measured with a thermometer),0.682,9.051
Epiglottitis,e 204 - n,0.9681,3.0182
Epiglottitis,e 56 (7),0.1634,0.5221
Epiglottitis,e 58 (7),0.1677,0.4903
Epiglottitis,e 54 - a knife stroke,0.828,9.5684
Epiglottitis,e 54 - sharp,0.7792,10.1932
Epiglottitis,e 56 (5),0.1662,0.4589
Epiglottitis,e 59 (6),0.1437,0.4549
Epiglottitis,addiction to alcohol,0.5942,6.2613
Epiglottitis,e 58 (5),0.1704,0.4049
Epiglottitis,e 59 (4),0.1389,0.4853
Epiglottitis,e 56 (6),0.1669,0.4696
Epiglottitis,feel pain - tonsil(r),0.7834,3.159
Epiglottitis,feel pain - tonsil(l),0.781,3.1485
Epiglottitis,feel pain - palace,0.7798,3.1344
Epiglottitis,feel pain - pharynx,0.7742,3.4434
Epiglottitis,e 58 (9),0.1629,0.4141
Epiglottitis,e 58 (8),0.1633,0.515
Epiglottitis,shortness of breath or difficulty breathing in a significant way,0.6826,10.3715
Epiglottitis,diabetes,0.6048,5.5862
Epiglottitis,high blood pressure or do you take medications to treat high blood pressure,0.5984,5.0569
Epiglottitis,e 194,0.777,4.5582
Epiglottitis,e 58 (10),0.1682,0.4175
Epiglottitis,e 59 (9),0.1461,0.4846
Epiglottitis,e 56 (8),0.1677,0.5473
Epiglottitis,e 59 (8),0.1458,0.5129
Epiglottitis,e 56 (9),0.1687,0.5211
Epiglottitis,e 59 (5),0.146,0.464
Epiglottitis,e 58 (6),0.1675,0.4249
Epiglottitis,pain that improves when you lean forward,0.609,0.7173
Epiglottitis,feel pain - back of the neck,0.7385,3.3589
Epiglottitis,e 56 (10),0.1671,0.4343
Epiglottitis,regularly take stimulant drugs,0.5996,2.5202
Epiglottitis,"difficulty swallowing, or have a feeling of discomfort/blockage when swallowing",0.7295,2.1116
Epiglottitis,e 190,0.7376,1.687
Epiglottitis,e 209,0.4991,4.1077
Epiglottitis,feel pain - under the jaw,0.1636,1.4394
Epiglottitis,e 212,0.7591,2.5159
Epiglottitis,feel pain - trachea,0.0737,0.3098
Epiglottitis,feel pain - side of the neck(r),0.5365,1.418
Epiglottitis,feel pain - side of the neck(l),0.3197,0.8311
Epiglottitis,e 59 (7),0.1385,0.5638
Inguinal hernia,pain,0.9998,20.388
Inguinal hernia,e 54 - heavy,0.9998,6.7571
Inguinal hernia,e 56 (4),0.1367,0.4581
Inguinal hernia,pain radiate to another location - nowhere,1.0,23.6038
Inguinal hernia,e 58 (3),0.1428,0.3954
Inguinal hernia,e 59 (3),0.1371,0.4815
Inguinal hernia,e 204 - n,0.9584,3.0182
Inguinal hernia,e 56 (7),0.1495,0.5221
Inguinal hernia,e 59 (2),0.1384,0.4978
Inguinal hernia,"lesions, redness or problems on your skin that you believe are related to the condition you are consulting for",0.9055,11.7506
Inguinal hernia,e 130 - pale,0.9055,3.4887
Inguinal hernia,e 131 - n,1.0,13.3891
Inguinal hernia,e 132 (0),0.0945,2.5805
Inguinal hernia,e 134 (6),0.1494,0.0936
Inguinal hernia,e 135 - y,0.9055,10.3408
Inguinal hernia,e 136 (0),1.0,6.0007
Inguinal hernia,e 56 (5),0.1378,0.4589
Inguinal hernia,e 58 (2),0.1399,0.398
Inguinal hernia,e 59 (6),0.1452,0.4549
Inguinal hernia,e 132 (4),0.1184,0.2742
Inguinal hernia,e 134 (0),0.0945,2.6038
Inguinal hernia,e 135 - n,0.0945,3.9451
Inguinal hernia,e 58 (5),0.1443,0.4049
Inguinal hernia,e 59 (4),0.1409,0.4853
Inguinal hernia,e 58 (4),0.1469,0.3967
Inguinal hernia,e 56 (6),0.1427,0.4696
Inguinal hernia,e 59 (1),0.1494,0.5038
Inguinal hernia,e 56 (1),0.1471,0.3478
Inguinal hernia,e 56 (2),0.1462,0.466
Inguinal hernia,significantly overweight compared to people of the same height as you,0.3541,5.8498
Inguinal hernia,feel pain - iliac fossa(r),0.6836,1.7481
Inguinal hernia,feel pain - iliac fossa(l),0.6934,1.7604
Inguinal hernia,e 56 (3),0.1398,0.4716
Inguinal hernia,e 134 (3),0.1026,0.3726
Inguinal hernia,e 58 (1),0.1402,0.2877
Inguinal hernia,e 59 (5),0.1441,0.464
Inguinal hernia,e 58 (6),0.1332,0.4249
Inguinal hernia,e 134 (1),0.1099,0.3469
Inguinal hernia,feel pain - hip(r),0.687,0.9163
Inguinal hernia,feel pain - hip(l),0.6853,0.9117
Inguinal hernia,feel pain - testicle(r),0.5741,0.6362
Inguinal hernia,feel pain - testicle(l),0.4993,0.4786
Inguinal hernia,e 132 (3),0.12,0.3118
Inguinal hernia,e 133 - iliac fossa(l),0.7,0.9518
Inguinal hernia,e 150,0.5301,0.5408
Inguinal hernia,e 160,0.5805,0.6507
Inguinal hernia,intense coughing fits,0.6489,2.8522
Inguinal hernia,e 221,0.5994,0.6945
Inguinal hernia,e 130 - na,0.0945,2.1071
Inguinal hernia,e 133 - nowhere,0.0945,2.1071
Inguinal hernia,e 58 (0),0.1527,0.4857
Inguinal hernia,e 134 (2),0.1108,0.3626
Inguinal hernia,e 132 (6),0.1312,0.1279
Inguinal hernia,e 132 (5),0.1318,0.1574
Inguinal hernia,e 59 (7),0.1447,0.5638
Inguinal hernia,e 132 (1),0.1373,0.3125
Inguinal hernia,e 132 (2),0.1252,0.3118
Inguinal hernia,e 134 (5),0.1503,0.141
Inguinal hernia,feel your abdomen is bloated or distended (swollen due to pressure from inside),0.6156,0.7332
Inguinal hernia,e 132 (7),0.1415,0.0346
Inguinal hernia,e 133 - iliac fossa(r),0.7056,0.9673
Inguinal hernia,e 134 (4),0.1248,0.1274
Inguinal hernia,e 134 (7),0.1578,0.0784
Boerhaave,pain,0.9999,20.388
Boerhaave,e 58 (3),0.1403,0.3954
Boerhaave,e 204 - n,0.973,3.0182
Boerhaave,e 56 (7),0.1945,0.5221
Boerhaave,e 58 (7),0.1404,0.4903
Boerhaave,feel like vomiting,0.7626,5.387
Boerhaave,e 54 - a knife stroke,0.7525,9.5684
Boerhaave,feel pain - lower chest,0.7537,6.3707
Boerhaave,e 58 (2),0.1477,0.398
Boerhaave,e 59 (6),0.1999,0.4549
Boerhaave,addiction to alcohol,0.7141,6.2613
Boerhaave,e 58 (5),0.1428,0.4049
Boerhaave,e 58 (4),0.1419,0.3967
Boerhaave,e 56 (6),0.2033,0.4696
Boerhaave,shortness of breath or difficulty breathing in a significant way,0.641,10.3715
Boerhaave,e 54 - haunting,0.7571,3.6621
Boerhaave,e 54 - violent,0.7495,4.0309
Boerhaave,e 59 (9),0.1995,0.4846
Boerhaave,feel pain - hypochondrium(r),0.3517,1.4309
Boerhaave,feel pain - hypochondrium(l),0.2468,2.0952
Boerhaave,feel pain - epigastric,0.7647,5.699
Boerhaave,e 54 - heartbreaking,0.7514,3.06
Boerhaave,feel pain - upper chest,0.7532,5.3575
Boerhaave,e 56 (8),0.202,0.5473
Boerhaave,e 58 (1),0.1409,0.2877
Boerhaave,e 59 (8),0.1955,0.5129
Boerhaave,e 56 (9),0.1977,0.5211
Boerhaave,feel pain - flank(l),0.4609,1.7209
Boerhaave,e 58 (6),0.1459,0.4249
Boerhaave,e 56 (10),0.2025,0.4343
Boerhaave,e 54 - sickening,0.7598,3.0164
Boerhaave,feel pain - flank(r),0.557,1.4761
Boerhaave,feel pain - belly,0.6805,2.2215
Boerhaave,pain radiate to another location - thoracic spine,0.7558,5.2286
Boerhaave,pain radiate to another location - scapula(r),0.7516,2.4264
Boerhaave,pain radiate to another location - scapula(l),0.758,2.3345
Boerhaave,e 211,0.8033,1.2581
Boerhaave,e 59 (10),0.204,0.409
Boerhaave,e 210,0.719,1.1678
Boerhaave,e 59 (7),0.201,0.5638
Pancreatic neoplasm,pain,0.9727,20.388
Pancreatic neoplasm,e 54 - sensitive,0.5832,8.6855
Pancreatic neoplasm,e 56 (4),0.1601,0.4581
Pancreatic neoplasm,pain radiate to another location - nowhere,0.4182,23.6038
Pancreatic neoplasm,e 58 (3),0.1612,0.3954
Pancreatic neoplasm,e 59 (3),0.1622,0.4815
Pancreatic neoplasm,smoking,0.6695,11.0741
Pancreatic neoplasm,cough,0.5023,12.413
Pancreatic neoplasm,e 204 - n,0.9688,3.0182
Pancreatic neoplasm,diarrhea or an increase in stool frequency,0.5605,3.4266
Pancreatic neoplasm,e 59 (2),0.1626,0.4978
Pancreatic neoplasm,"lesions, redness or problems on your skin that you believe are related to the condition you are consulting for",0.7184,11.7506
Pancreatic neoplasm,e 131 - n,1.0,13.3891
Pancreatic neoplasm,e 132 (0),0.4667,2.5805
Pancreatic neoplasm,e 135 - y,0.7184,10.3408
Pancreatic neoplasm,e 136 (0),0.4268,6.0007
Pancreatic neoplasm,feel like vomiting,0.4947,5.387
Pancreatic neoplasm,involuntary weight loss over the last 3 months,0.6195,3.2873
Pancreatic neoplasm,e 56 (5),0.16,0.4589
Pancreatic neoplasm,e 58 (2),0.1633,0.398
Pancreatic neoplasm,e 134 (0),0.4595,2.6038
Pancreatic neoplasm,e 135 - n,0.2816,3.9451
Pancreatic neoplasm,e 58 (5),0.1602,0.4049
Pancreatic neoplasm,e 59 (4),0.1599,0.4853
Pancreatic neoplasm,e 58 (4),0.1621,0.3967
Pancreatic neoplasm,e 56 (6),0.1605,0.4696
Pancreatic neoplasm,e 59 (1),0.1592,0.5038
Pancreatic neoplasm,e 54 - a cramp,0.7407,3.7986
Pancreatic neoplasm,e 56 (1),0.1651,0.3478
Pancreatic neoplasm,e 56 (2),0.162,0.466
Pancreatic neoplasm,e 59 (0),0.1907,0.751
Pancreatic neoplasm,diabetes,0.5937,5.5862
Pancreatic neoplasm,significantly overweight compared to people of the same height as you,0.6653,5.8498
Pancreatic neoplasm,feel pain - hypochondrium(l),0.6096,2.0952
Pancreatic neoplasm,feel pain - epigastric,0.6115,5.699
Pancreatic neoplasm,e 56 (3),0.165,0.4716
Pancreatic neoplasm,e 134 (3),0.1799,0.3726
Pancreatic neoplasm,e 58 (1),0.1602,0.2877
Pancreatic neoplasm,e 59 (5),0.1653,0.464
Pancreatic neoplasm,feel pain - flank(l),0.515,1.7209
Pancreatic neoplasm,e 134 (1),0.184,0.3469
Pancreatic neoplasm,e 132 (3),0.1774,0.3118
Pancreatic neoplasm,feel pain - belly,0.5217,2.2215
Pancreatic neoplasm,pain radiate to another location - thoracic spine,0.5818,5.2286
Pancreatic neoplasm,chronic pancreatitis,0.64,0.7935
Pancreatic neoplasm,non-restful sleep,0.6066,4.2598
Pancreatic neoplasm,e 130 - yellow,0.7184,1.0032
Pancreatic neoplasm,e 133 - epigastric,0.7184,1.0032
Pancreatic neoplasm,e 136 (3),0.1416,0.2137
Pancreatic neoplasm,pale stools and dark urine,0.7241,1.0195
Pancreatic neoplasm,e 223,0.7502,1.0953
Pancreatic neoplasm,e 130 - na,0.2816,2.1071
Pancreatic neoplasm,e 133 - nowhere,0.2816,2.1071
Pancreatic neoplasm,e 58 (0),0.193,0.4857
Pancreatic neoplasm,e 134 (2),0.1767,0.3626
Pancreatic neoplasm,e 136 (2),0.1417,0.2122
Pancreatic neoplasm,e 136 (4),0.1437,0.1159
Pancreatic neoplasm,e 132 (1),0.1757,0.3125
Pancreatic neoplasm,e 132 (2),0.1802,0.3118
Pancreatic neoplasm,e 136 (1),0.1462,0.2172
Bronchitis,pain,0.9945,20.388
Bronchitis,e 54 - sensitive,0.4438,8.6855
Bronchitis,e 56 (4),0.1997,0.4581
Bronchitis,pain radiate to another location - nowhere,1.0,23.6038
Bronchitis,e 58 (3),0.1405,0.3954
Bronchitis,e 59 (3),0.1668,0.4815
Bronchitis,cough that produces colored or more abundant sputum than usual,0.7818,4.9588
Bronchitis,smoking,0.5763,11.0741
Bronchitis,fever (either felt or measured with a thermometer),0.5357,9.051
Bronchitis,sore throat,0.491,3.3494
Bronchitis,cough,0.8717,12.413
Bronchitis,e 204 - n,0.9705,3.0182
Bronchitis,e 58 (7),0.1413,0.4903
Bronchitis,e 59 (2),0.1653,0.4978
Bronchitis,feel pain - lower chest,0.4436,6.3707
Bronchitis,feel pain - side of the chest(r),0.4415,5.4358
Bronchitis,feel pain - side of the chest(l),0.4451,4.7443
Bronchitis,feel pain - posterior chest wall(r),0.4369,3.7359
Bronchitis,feel pain - posterior chest wall(l),0.4394,3.3986
Bronchitis,e 56 (5),0.1973,0.4589
Bronchitis,e 58 (2),0.1432,0.398
Bronchitis,chronic obstructive pulmonary disease (copd),0.7865,4.6812
Bronchitis,nasal congestion or a clear runny nose,0.4609,8.0171
Bronchitis,e 58 (5),0.1419,0.4049
Bronchitis,e 59 (4),0.1691,0.4853
Bronchitis,e 58 (4),0.1411,0.3967
Bronchitis,e 54 - burning,0.7457,7.083
Bronchitis,e 59 (1),0.1674,0.5038
Bronchitis,feel pain - pharynx,0.4367,3.4434
Bronchitis,e 56 (1),0.1973,0.3478
Bronchitis,e 56 (2),0.1977,0.466
Bronchitis,e 59 (0),0.167,0.751
Bronchitis,shortness of breath or difficulty breathing in a significant way,0.5704,10.3715
Bronchitis,e 56 (3),0.2024,0.4716
Bronchitis,feel pain - upper chest,0.3353,5.3575
Bronchitis,feel pain - breast(r),0.4182,6.0427
Bronchitis,feel pain - breast(l),0.3817,5.5486
Bronchitis,e 58 (1),0.1415,0.2877
Bronchitis,e 59 (5),0.1644,0.464
Bronchitis,e 58 (6),0.1449,0.4249
Bronchitis,e 209,0.4278,4.1077
Bronchitis,e 214,0.5427,5.3032
Bronchitis,e 219,0.5726,1.9713
SLE,pain,1.0,20.388
SLE,e 54 - sensitive,0.613,8.6855
SLE,e 56 (4),0.1375,0.4581
SLE,pain radiate to another location - nowhere,1.0,23.6038
SLE,e 59 (3),0.1455,0.4815
SLE,smoking,0.6599,11.0741
SLE,e 204 - n,0.9171,3.0182
SLE,e 56 (7),0.1432,0.5221
SLE,e 58 (7),0.1649,0.4903
SLE,e 59 (2),0.1479,0.4978
SLE,"lesions, redness or problems on your skin that you believe are related to the condition you are consulting for",0.972,11.7506
SLE,e 131 - n,1.0,13.3891
SLE,e 132 (0),0.2219,2.5805
SLE,e 135 - y,0.972,10.3408
SLE,e 136 (0),0.2726,6.0007
SLE,e 54 - sharp,0.7791,10.1932
SLE,e 56 (5),0.1412,0.4589
SLE,e 59 (6),0.1464,0.4549
SLE,e 132 (4),0.1994,0.2742
SLE,e 58 (5),0.1635,0.4049
SLE,e 59 (4),0.1423,0.4853
SLE,e 56 (6),0.146,0.4696
