symptom,information_gain,specificity,combined_score,p_yes_avg
rash swelling: 7/10,0.0981,0.9796,0.3625,0.0127
rash pain intensity: 8/10,0.0981,0.9796,0.3625,0.0127
pain in right knee,0.0953,0.9796,0.3606,0.0122
of asian descent,0.0944,0.9796,0.36,0.0121
clinical evidence 11,0.0928,0.9796,0.3588,0.0118
pain in calf (left),0.1007,0.9592,0.3582,0.0131
skin lesion on palace,0.0897,0.9796,0.3566,0.0114
recent travel to: south africa,0.0893,0.9796,0.3564,0.0113
recent travel to: north africa,0.0889,0.9796,0.3561,0.0112
pain in left knee,0.0886,0.9796,0.3559,0.0112
pain in tibia (right),0.0885,0.9796,0.3558,0.0112
swelling in lateral side of the foot (right),0.0878,0.9796,0.3554,0.0111
pain in mid back,0.1054,0.9388,0.3554,0.0139
recent travel to: asia,0.0869,0.9796,0.3547,0.0109
recent travel to: central america,0.087,0.9796,0.3547,0.0109
recent travel to: south east asia,0.0869,0.9796,0.3547,0.0109
recent travel to: south america,0.0866,0.9796,0.3545,0.0109
skin lesion on thigh (right),0.0863,0.9796,0.3543,0.0108
no recent international travel,0.4022,0.0204,0.2877,0.92
